fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,fov_v_deg,fov_h_deg,grill orientation,spatial_frequency_apd,spatial_period_lea_px,ctf_percent,michelson_percentile_min,michelson_percentile_max
Ver.1,Ver.1,mason,1692621785.0490084,B,capture_2_h_B.png,5.6,2.8,h,8.45cpd,4pixel,21.6,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,B,capture_2_v_B.png,5.6,5.6,v,8.45cpd,4pixel,-0.5,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,B,capture_2_h_B.png,5.6,5.6,h,8.45cpd,4pixel,nan,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-5.6,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-5.6,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-5.6,-2.8,v,8.45cpd,4pixel,-2.1,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-5.6,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-5.6,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-5.6,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-5.6,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-5.6,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-5.6,5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-5.6,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-2.8,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-2.8,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-2.8,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-2.8,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-2.8,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-2.8,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-2.8,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-2.8,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,-2.8,5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,-2.8,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,0,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,0,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,0,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,0,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,0,0,v,8.45cpd,4pixel,nan,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,0,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,0,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,0,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,0,5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,0,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,2.8,-5.6,v,8.45cpd,4pixel,nan,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,2.8,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,2.8,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,2.8,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,2.8,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,2.8,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,2.8,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,2.8,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,2.8,5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,2.8,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,5.6,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,5.6,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,5.6,-2.8,v,8.45cpd,4pixel,nan,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,5.6,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,5.6,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,5.6,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,5.6,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,5.6,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_v_G.png,5.6,5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,G,capture_2_h_G.png,5.6,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-5.6,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-5.6,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-5.6,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-5.6,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-5.6,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-5.6,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-5.6,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-5.6,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-5.6,5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-5.6,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-2.8,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-2.8,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-2.8,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-2.8,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-2.8,0,v,8.45cpd,4pixel,6.7000003,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-2.8,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-2.8,2.8,v,8.45cpd,4pixel,8.5,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-2.8,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,-2.8,5.6,v,8.45cpd,4pixel,5.4,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,-2.8,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,0,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,0,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,0,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,0,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,0,0,v,8.45cpd,4pixel,6.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,0,0,h,8.45cpd,4pixel,nan,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,0,2.8,v,8.45cpd,4pixel,1.3000001,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,0,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,0,5.6,v,8.45cpd,4pixel,0.8,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,0,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,2.8,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,2.8,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,2.8,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,2.8,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,2.8,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,2.8,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,2.8,2.8,v,8.45cpd,4pixel,6.7000003,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,2.8,2.8,h,8.45cpd,4pixel,nan,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,2.8,5.6,v,8.45cpd,4pixel,3.6,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,2.8,5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,5.6,-5.6,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,5.6,-5.6,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,5.6,-2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,5.6,-2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,5.6,0,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,5.6,0,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,5.6,2.8,v,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,5.6,2.8,h,8.45cpd,4pixel,0.0,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_v_R.png,5.6,5.6,v,8.45cpd,4pixel,6.3,21,79,
Ver.1,Ver.1,mason,1692621785.0490084,R,capture_2_h_R.png,5.6,5.6,h,8.45cpd,4pixel,0.0,21,79,
